run_id,pair_id,maze_id,agent_type,seed,action_priority,step_limit,success,total_steps,blocked_actions,repeated_failed_actions
maze_01-s0-A,maze_01-s0,maze_01,A,0,up|down|left|right,128,1,10,0,0
maze_01-s0-B,maze_01-s0,maze_01,B,0,up|down|left|right,128,1,10,0,0
maze_01-s1-A,maze_01-s1,maze_01,A,1,up|down|right|left,128,1,10,0,0
maze_01-s1-B,maze_01-s1,maze_01,B,1,up|down|right|left,128,1,10,0,0
maze_01-s2-A,maze_01-s2,maze_01,A,2,up|left|down|right,128,1,10,0,0
maze_01-s2-B,maze_01-s2,maze_01,B,2,up|left|down|right,128,1,10,0,0
maze_01-s3-A,maze_01-s3,maze_01,A,3,up|left|right|down,128,1,10,0,0
maze_01-s3-B,maze_01-s3,maze_01,B,3,up|left|right|down,128,1,10,0,0
maze_01-s4-A,maze_01-s4,maze_01,A,4,up|right|down|left,128,1,10,0,0
maze_01-s4-B,maze_01-s4,maze_01,B,4,up|right|down|left,128,1,10,0,0
maze_02-s0-A,maze_02-s0,maze_02,A,0,up|down|left|right,116,1,12,0,0
maze_02-s0-B,maze_02-s0,maze_02,B,0,up|down|left|right,116,1,12,0,0
maze_02-s1-A,maze_02-s1,maze_02,A,1,up|down|right|left,116,1,12,0,0
maze_02-s1-B,maze_02-s1,maze_02,B,1,up|down|right|left,116,1,12,0,0
maze_02-s2-A,maze_02-s2,maze_02,A,2,up|left|down|right,116,1,12,0,0
maze_02-s2-B,maze_02-s2,maze_02,B,2,up|left|down|right,116,1,12,0,0
maze_02-s3-A,maze_02-s3,maze_02,A,3,up|left|right|down,116,1,18,6,0
maze_02-s3-B,maze_02-s3,maze_02,B,3,up|left|right|down,116,1,18,6,0
maze_02-s4-A,maze_02-s4,maze_02,A,4,up|right|down|left,116,1,18,6,0
maze_02-s4-B,maze_02-s4,maze_02,B,4,up|right|down|left,116,1,18,6,0
maze_03-s0-A,maze_03-s0,maze_03,A,0,up|down|left|right,124,0,124,124,122
maze_03-s0-B,maze_03-s0,maze_03,B,0,up|down|left|right,124,0,124,4,0
maze_03-s1-A,maze_03-s1,maze_03,A,1,up|down|right|left,124,0,124,124,122
maze_03-s1-B,maze_03-s1,maze_03,B,1,up|down|right|left,124,0,124,3,0
maze_03-s2-A,maze_03-s2,maze_03,A,2,up|left|down|right,124,0,124,124,122
maze_03-s2-B,maze_03-s2,maze_03,B,2,up|left|down|right,124,0,124,3,0
maze_03-s3-A,maze_03-s3,maze_03,A,3,up|left|right|down,124,0,124,124,122
maze_03-s3-B,maze_03-s3,maze_03,B,3,up|left|right|down,124,0,124,3,0
maze_03-s4-A,maze_03-s4,maze_03,A,4,up|right|down|left,124,0,124,124,122
maze_03-s4-B,maze_03-s4,maze_03,B,4,up|right|down|left,124,0,124,3,0
maze_04-s0-A,maze_04-s0,maze_04,A,0,up|down|left|right,124,1,12,0,0
maze_04-s0-B,maze_04-s0,maze_04,B,0,up|down|left|right,124,1,12,0,0
maze_04-s1-A,maze_04-s1,maze_04,A,1,up|down|right|left,124,1,12,0,0
maze_04-s1-B,maze_04-s1,maze_04,B,1,up|down|right|left,124,1,12,0,0
maze_04-s2-A,maze_04-s2,maze_04,A,2,up|left|down|right,124,1,12,0,0
maze_04-s2-B,maze_04-s2,maze_04,B,2,up|left|down|right,124,1,12,0,0
maze_04-s3-A,maze_04-s3,maze_04,A,3,up|left|right|down,124,1,18,6,0
maze_04-s3-B,maze_04-s3,maze_04,B,3,up|left|right|down,124,1,18,6,0
maze_04-s4-A,maze_04-s4,maze_04,A,4,up|right|down|left,124,1,18,6,0
maze_04-s4-B,maze_04-s4,maze_04,B,4,up|right|down|left,124,1,18,6,0
maze_05-s0-A,maze_05-s0,maze_05,A,0,up|down|left|right,100,0,100,33,32
maze_05-s0-B,maze_05-s0,maze_05,B,0,up|down|left|right,100,0,100,1,0
maze_05-s1-A,maze_05-s1,maze_05,A,1,up|down|right|left,100,0,100,33,32
maze_05-s1-B,maze_05-s1,maze_05,B,1,up|down|right|left,100,0,100,1,0
maze_05-s2-A,maze_05-s2,maze_05,A,2,up|left|down|right,100,0,100,33,32
maze_05-s2-B,maze_05-s2,maze_05,B,2,up|left|down|right,100,0,100,1,0
maze_05-s3-A,maze_05-s3,maze_05,A,3,up|left|right|down,100,0,100,98,96
maze_05-s3-B,maze_05-s3,maze_05,B,3,up|left|right|down,100,0,100,2,0
maze_05-s4-A,maze_05-s4,maze_05,A,4,up|right|down|left,100,0,100,98,96
maze_05-s4-B,maze_05-s4,maze_05,B,4,up|right|down|left,100,0,100,3,0
maze_06-s0-A,maze_06-s0,maze_06,A,0,up|down|left|right,208,1,14,0,0
maze_06-s0-B,maze_06-s0,maze_06,B,0,up|down|left|right,208,1,14,0,0
maze_06-s1-A,maze_06-s1,maze_06,A,1,up|down|right|left,208,1,14,0,0
maze_06-s1-B,maze_06-s1,maze_06,B,1,up|down|right|left,208,1,14,0,0
maze_06-s2-A,maze_06-s2,maze_06,A,2,up|left|down|right,208,1,14,0,0
maze_06-s2-B,maze_06-s2,maze_06,B,2,up|left|down|right,208,1,14,0,0
maze_06-s3-A,maze_06-s3,maze_06,A,3,up|left|right|down,208,1,14,0,0
maze_06-s3-B,maze_06-s3,maze_06,B,3,up|left|right|down,208,1,14,0,0
maze_06-s4-A,maze_06-s4,maze_06,A,4,up|right|down|left,208,1,14,0,0
maze_06-s4-B,maze_06-s4,maze_06,B,4,up|right|down|left,208,1,14,0,0
maze_07-s0-A,maze_07-s0,maze_07,A,0,up|down|left|right,156,1,21,7,0
maze_07-s0-B,maze_07-s0,maze_07,B,0,up|down|left|right,156,1,21,7,0
maze_07-s1-A,maze_07-s1,maze_07,A,1,up|down|right|left,156,1,21,7,0
maze_07-s1-B,maze_07-s1,maze_07,B,1,up|down|right|left,156,1,21,7,0
maze_07-s2-A,maze_07-s2,maze_07,A,2,up|left|down|right,156,1,21,7,0
maze_07-s2-B,maze_07-s2,maze_07,B,2,up|left|down|right,156,1,21,7,0
maze_07-s3-A,maze_07-s3,maze_07,A,3,up|left|right|down,156,1,20,6,0
maze_07-s3-B,maze_07-s3,maze_07,B,3,up|left|right|down,156,1,20,6,0
maze_07-s4-A,maze_07-s4,maze_07,A,4,up|right|down|left,156,1,20,6,0
maze_07-s4-B,maze_07-s4,maze_07,B,4,up|right|down|left,156,1,20,6,0
maze_08-s0-A,maze_08-s0,maze_08,A,0,up|down|left|right,144,0,144,46,45
maze_08-s0-B,maze_08-s0,maze_08,B,0,up|down|left|right,144,0,144,1,0
maze_08-s1-A,maze_08-s1,maze_08,A,1,up|down|right|left,144,0,144,46,45
maze_08-s1-B,maze_08-s1,maze_08,B,1,up|down|right|left,144,0,144,1,0
maze_08-s2-A,maze_08-s2,maze_08,A,2,up|left|down|right,144,0,144,46,45
maze_08-s2-B,maze_08-s2,maze_08,B,2,up|left|down|right,144,0,144,1,0
maze_08-s3-A,maze_08-s3,maze_08,A,3,up|left|right|down,144,0,144,137,135
maze_08-s3-B,maze_08-s3,maze_08,B,3,up|left|right|down,144,0,144,2,0
maze_08-s4-A,maze_08-s4,maze_08,A,4,up|right|down|left,144,0,144,137,135
maze_08-s4-B,maze_08-s4,maze_08,B,4,up|right|down|left,144,0,144,3,0
maze_09-s0-A,maze_09-s0,maze_09,A,0,up|down|left|right,116,0,116,36,35
maze_09-s0-B,maze_09-s0,maze_09,B,0,up|down|left|right,116,0,116,1,0
maze_09-s1-A,maze_09-s1,maze_09,A,1,up|down|right|left,116,0,116,36,35
maze_09-s1-B,maze_09-s1,maze_09,B,1,up|down|right|left,116,0,116,1,0
maze_09-s2-A,maze_09-s2,maze_09,A,2,up|left|down|right,116,0,116,36,35
maze_09-s2-B,maze_09-s2,maze_09,B,2,up|left|down|right,116,0,116,1,0
maze_09-s3-A,maze_09-s3,maze_09,A,3,up|left|right|down,116,0,116,109,105
maze_09-s3-B,maze_09-s3,maze_09,B,3,up|left|right|down,116,0,116,4,0
maze_09-s4-A,maze_09-s4,maze_09,A,4,up|right|down|left,116,0,116,109,105
maze_09-s4-B,maze_09-s4,maze_09,B,4,up|right|down|left,116,0,116,4,0
maze_10-s0-A,maze_10-s0,maze_10,A,0,up|down|left|right,220,1,16,0,0
maze_10-s0-B,maze_10-s0,maze_10,B,0,up|down|left|right,220,1,16,0,0
maze_10-s1-A,maze_10-s1,maze_10,A,1,up|down|right|left,220,1,16,0,0
maze_10-s1-B,maze_10-s1,maze_10,B,1,up|down|right|left,220,1,16,0,0
maze_10-s2-A,maze_10-s2,maze_10,A,2,up|left|down|right,220,1,16,0,0
maze_10-s2-B,maze_10-s2,maze_10,B,2,up|left|down|right,220,1,16,0,0
maze_10-s3-A,maze_10-s3,maze_10,A,3,up|left|right|down,220,0,220,70,69
maze_10-s3-B,maze_10-s3,maze_10,B,3,up|left|right|down,220,0,220,1,0
maze_10-s4-A,maze_10-s4,maze_10,A,4,up|right|down|left,220,0,220,70,69
maze_10-s4-B,maze_10-s4,maze_10,B,4,up|right|down|left,220,0,220,1,0
